Column1,date,state,tot_cases,new_case,tot_death,new_death,Region,Population Density
1,22-01-2020,AL,0,0,0,0,South,36.9
2,22-01-2020,AZ,0,0,0,0,West,22.5
3,22-01-2020,ME,0,0,0,0,NorthEast,16.6
4,22-01-2020,IN,0,0,0,0,NorthCentral,70.8
5,22-01-2020,CA,0,0,0,0,West,95
6,22-01-2020,MS,0,0,0,0,South,24.6
7,22-01-2020,NE,0,0,0,0,NorthCentral,9.4
8,22-01-2020,SC,0,0,0,0,South,61.3
10,22-01-2020,IL,0,0,0,0,NorthCentral,89.6
12,22-01-2020,CT,0,0,0,0,NorthEast,286.7
13,22-01-2020,NV,0,0,0,0,West,9.8
14,22-01-2020,MN,0,0,0,0,NorthCentral,26.3
15,22-01-2020,LA,0,0,0,0,South,41.3
16,22-01-2020,ND,0,0,0,0,NorthCentral,4
17,22-01-2020,WA,1,1,0,0,West,40.5
18,22-01-2020,ID,0,0,0,0,West,7.5
19,22-01-2020,CO,0,0,0,0,West,19.6
20,22-01-2020,NM,0,0,0,0,West,6.6
21,22-01-2020,IA,0,0,0,0,NorthCentral,21.4
22,22-01-2020,SD,0,0,0,0,NorthCentral,4.3
24,22-01-2020,PA,0,0,0,0,NorthEast,110.2
25,22-01-2020,FL,0,0,0,0,South,140.8
26,22-01-2020,HI,0,0,0,0,West,84.4
28,22-01-2020,MA,0,0,0,0,NorthEast,331.6
29,22-01-2020,NY,0,0,0,0,NorthEast,161
31,22-01-2020,OK,0,0,0,0,South,21.7
32,22-01-2020,TN,0,0,0,0,South,60.8
33,22-01-2020,AK,0,0,0,0,West,0.5
34,22-01-2020,AR,0,0,0,0,South,22
35,22-01-2020,UT,0,0,0,0,West,13.6
37,22-01-2020,KS,0,0,0,0,NorthCentral,13.7
39,22-01-2020,TX,0,0,0,0,South,39.1
40,22-01-2020,OH,0,0,0,0,NorthCentral,109.3
41,22-01-2020,WV,0,0,0,0,South,29.8
42,22-01-2020,GA,0,0,0,0,South,67.1
44,22-01-2020,VT,0,0,0,0,NorthEast,26.3
45,22-01-2020,MD,0,0,0,0,South,235.8
46,22-01-2020,DC,0,0,0,0,South,"4,088.40"
47,22-01-2020,NJ,0,0,0,0,NorthEast,467.2
49,22-01-2020,MT,0,0,0,0,West,2.7
50,22-01-2020,OR,0,0,0,0,West,15.8
51,22-01-2020,NH,0,0,0,0,NorthEast,57.1
52,22-01-2020,DE,0,0,0,0,South,183.4
53,22-01-2020,WY,0,0,0,0,West,2.3
54,22-01-2020,WI,0,0,0,0,NorthCentral,40.9
55,22-01-2020,KY,0,0,0,0,South,43
56,22-01-2020,RI,0,0,0,0,NorthEast,392.7
57,22-01-2020,NC,0,0,0,0,South,78.2
58,22-01-2020,MO,0,0,0,0,NorthCentral,33.9
59,22-01-2020,MI,0,0,0,0,NorthCentral,67.6
60,22-01-2020,VA,0,0,0,0,South,80.8
61,23-01-2020,WY,0,0,0,0,West,2.3
62,23-01-2020,MS,0,0,0,0,South,24.6
63,23-01-2020,NJ,0,0,0,0,NorthEast,467.2
64,23-01-2020,OR,0,0,0,0,West,15.8
65,23-01-2020,MN,0,0,0,0,NorthCentral,26.3
66,23-01-2020,VT,0,0,0,0,NorthEast,26.3
68,23-01-2020,NC,0,0,0,0,South,78.2
