"","date","new_case","tot_case","new_death","tot_death"
"1",2020-01-22,1,1,0,0
"2",2020-01-23,0,1,0,0
"3",2020-01-24,1,2,0,0
"4",2020-01-25,0,2,0,0
"5",2020-01-26,3,5,0,0
"6",2020-01-27,0,5,0,0
"7",2020-01-28,0,5,0,0
"8",2020-01-29,0,5,0,0
"9",2020-01-30,0,5,0,0
"10",2020-01-31,2,7,0,0
"11",2020-02-01,1,8,0,0
"12",2020-02-02,0,8,0,0
"13",2020-02-03,3,11,0,0
"14",2020-02-04,0,11,0,0
"15",2020-02-05,0,11,0,0
"16",2020-02-06,0,11,0,0
"17",2020-02-07,1,12,0,0
"18",2020-02-08,0,12,0,0
"19",2020-02-09,0,12,0,0
"20",2020-02-10,0,12,0,0
"21",2020-02-11,1,13,0,0
"22",2020-02-12,0,13,0,0
"23",2020-02-13,1,14,0,0
"24",2020-02-14,0,14,0,0
"25",2020-02-15,0,14,0,0
"26",2020-02-16,0,14,0,0
"27",2020-02-17,2,16,0,0
"28",2020-02-18,0,16,0,0
"29",2020-02-19,1,17,0,0
"30",2020-02-20,1,18,0,0
"31",2020-02-21,5,23,0,0
"32",2020-02-22,2,25,0,0
"33",2020-02-23,0,25,0,0
"34",2020-02-24,0,25,0,0
"35",2020-02-25,4,29,0,0
"36",2020-02-26,2,31,0,0
"37",2020-02-27,4,35,0,0
"38",2020-02-28,4,39,0,0
"39",2020-02-29,15,54,1,1
"40",2020-03-01,9,63,0,1
"41",2020-03-02,31,94,5,6
"42",2020-03-03,28,122,3,9
"43",2020-03-04,30,152,1,10
"44",2020-03-05,69,221,1,11
"45",2020-03-06,58,279,1,12
"46",2020-03-07,77,356,5,17
"47",2020-03-08,156,512,2,19
"48",2020-03-09,234,746,6,25
"49",2020-03-10,306,1052,4,29
"50",2020-03-11,299,1351,7,36
"51",2020-03-12,418,1769,5,41
"52",2020-03-13,343,2112,6,47
"53",2020-03-14,368,2480,4,51
"54",2020-03-15,1149,3629,12,63
"55",2020-03-16,782,4411,9,72
"56",2020-03-17,1409,5820,17,89
"57",2020-03-18,1856,7676,45,134
"58",2020-03-19,3291,10967,42,176
"59",2020-03-20,3494,14461,58,234
"60",2020-03-21,4851,19312,59,293
"61",2020-03-22,6118,25430,56,349
"62",2020-03-23,6880,32310,83,432
"63",2020-03-24,8116,40426,126,558
"64",2020-03-25,9619,50045,174,732
"65",2020-03-26,13991,64036,174,906
"66",2020-03-27,14692,78728,346,1252
"67",2020-03-28,15306,94034,226,1478
"68",2020-03-29,15470,109504,197,1675
"69",2020-03-30,17585,127089,338,2013
"70",2020-03-31,18990,146079,562,2575
"71",2020-04-01,20527,166606,598,3173
"72",2020-04-02,24707,191313,781,3954
"73",2020-04-03,28454,219767,746,4700
"74",2020-04-04,25943,245710,756,5456
